1,Леброн Джеймс,30.12.1983,2.06,113,St.Vicent-St. Mary High School,не учился,не учился,Lakers
2,Яннис Адетокумбо,06.12.1993,2.11,110,,,,Bucks
3,Трей Янг,19.09.1997,1.85,74,,,,Hawks
4,Стеффен Карри,14.03.1987,1.88,84,,,,Warriors
5,Рассел Вестбрук,12.11.1987,1.91,91,,,,Lakers
6,Девин Букер,30.10.1995,1.96,93,,,,Suns
7,Лука Дончич,28.02.1998,2.01,104,,,,Mavericks
8,Крис Пол,06.05.1984,1.83,79,,,,Suns
9,Крис Миделтон,12.08.1990,2.01,101,,,,Bucks
10,Дрю Холидей,12.06.1989,1.91,93,,,,Bucks
11,Карри Ирвинг,23.03.1991,1.88,88,,,,Nets
12,Кевин Дюрант,29.09.1987,2.08,109,,,,Nets
13,Бен Симмонс,20.07.1995,2.11,109,,,,Nets
14,Демар Дероузан,07.08.1988,1.98,100,,,,Bulls
15,Зак Лавин,10.03.1994,1.96,91,,,,Bulls
16,Алекс Карусо,28.02.1993,1.93,84,,,,Bulls
17,Пол Джордж,02.05.1989,2.03,100,,,,Clippers
18,Кавай Леонард,29.06.1990,2.01,102,,,,Clippers
19,Клей Томпсон,08.02.1989,1.98,100,,,,Warriors
20,Дреймонд Грин,04.03.1989,1.98,104,,,,Warriors
